task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",117.0000,0.0117,3.5385,4.0000,12.5983,12.3504,1.3474,8.2650
"keep and review paper, computerized, and video records of athlete, team, and opposing team performance.",17.0000,0.0017,3.1176,3.0000,10.7647,10.2941,1.6912,16.3235
keep informed of industry trends and deals.,830.0000,0.0830,3.1964,3.0000,13.3819,13.5229,2.2263,6.5015
"keep informed on industry news and trends, products, services, competitors, relevant information about legacy, existing, and emerging technologies, and the latest product-line developments.",65.0000,0.0065,3.4615,4.0000,12.5846,12.2923,2.1575,6.8538
keep records of client needs and preferences and the services provided.,27.0000,0.0027,2.8148,3.0000,8.5926,9.9259,1.0296,9.7315
"keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",288.0000,0.0288,2.8819,3.0000,10.0069,10.1493,1.4014,15.2248
keep records of the quantities of food used.,29.0000,0.0029,3.4483,4.0000,8.1034,7.5172,0.9972,8.4828
"keep records on individual children, including daily observations and information about activities, meals served, and medications administered.",16.0000,0.0016,3.2500,3.0000,9.9375,9.6875,1.6031,12.1250
keep students informed of community events such as plays and concerts.,15.0000,0.0015,3.0667,3.0000,9.2000,10.2667,0.7187,7.5000
key and program specified commands and engineering specifications into computer system to change functions and test final layout.,67.0000,0.0067,3.4179,4.0000,12.9403,12.6418,3.1942,13.8657
key in processing instructions to program electronic equipment.,61.0000,0.0061,3.2623,3.0000,12.0656,12.2459,3.5926,13.6066
lead tours and answer visitors' questions about the exhibits.,17.0000,0.0017,3.5294,4.0000,9.2941,8.7059,2.7588,17.7353
learn about characters in scripts and their relationships to each other to develop role interpretations.,68.0000,0.0068,3.6176,4.0000,9.5000,8.9265,2.6022,17.9706
learn about competitors' products or consumers' interests or concerns to answer questions or provide more complete information.,32.0000,0.0032,3.0000,3.0000,9.4375,10.1562,1.0009,3.2188
listen and provide emotional support and encouragement to psychiatric patients.,71.0000,0.0071,3.8592,4.0000,10.4930,9.3803,1.7997,26.0704
"listen to and resolve customer complaints regarding services, products, or personnel.",142.0000,0.0142,3.5070,4.0000,10.0141,9.6761,1.5606,20.1866
listen to and resolve customers' complaints regarding products or services.,180.0000,0.0180,3.6167,4.0000,9.8889,9.5611,1.5354,21.4667
"listen to engines, examine vehicle frames, or confer with customers to determine nature and extent of malfunction or damage.",59.0000,0.0059,3.6610,4.0000,9.2373,7.9492,0.7446,8.7458
"locate and distribute resources, such as periodicals or curricula, to enhance the effectiveness of educational programs.",154.0000,0.0154,3.3247,4.0000,10.7792,10.6039,1.2723,6.0698
"locate and notify customers of delinquent accounts by mail, telephone, or personal visits to solicit payment.",48.0000,0.0048,3.1042,3.0000,12.3125,11.9167,1.3333,11.4271
locate and obtain existing geographic information databases.,32.0000,0.0032,3.2812,3.0000,11.9688,11.9688,1.4203,6.9688
"locate and review research articles or environmental, historical, or technical reports.",814.0000,0.0814,3.2138,3.0000,14.7543,14.8980,3.8001,10.6087
"locate and secure settings, properties, effects, and other production necessities.",28.0000,0.0028,3.1786,3.0000,9.3929,9.1429,1.1018,6.7143
"locate barriers to client employment, such as inaccessible work sites, inflexible schedules, and transportation problems, and work with clients to develop strategies for overcoming these barriers.",206.0000,0.0206,3.7427,4.0000,12.9320,13.1311,3.5791,29.2354
"locate files relating to specified design project in database library, load program into computer, and record completed job data.",48.0000,0.0048,2.2083,2.0000,9.8542,10.4375,1.0125,3.7083
locate guests to appear on talk or interview shows.,54.0000,0.0054,3.1296,3.0000,8.0556,7.8519,0.7435,4.0648
"locate library materials for patrons, including books, periodicals, tape cassettes, braille volumes, and pictures.",490.0000,0.0490,3.2327,3.0000,11.2408,11.2531,1.6696,6.5597
locate new materials and direct their acquisition and display.,17.0000,0.0017,3.1176,3.0000,9.5294,8.4706,1.3824,5.0588
"locate suppliers, using sources such as catalogs and the internet, and interview them to gather information about products to be ordered.",27.0000,0.0027,3.2593,3.0000,10.1481,10.0000,1.8056,7.8704
locate unusual or unique information in response to specific requests.,17.0000,0.0017,3.2353,3.0000,11.7647,11.8824,1.9235,8.5882
"locate vendors of materials, equipment or supplies, and interview them to determine product availability and terms of sales.",170.0000,0.0170,3.2529,3.0000,10.5471,9.9765,2.2971,8.1794
maintain a current file of examination protocols.,25.0000,0.0025,3.0000,3.0000,12.2000,12.8400,1.5740,8.3800
"maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.",107.0000,0.0107,3.1682,3.0000,12.2430,12.3738,1.4007,15.1776
"maintain and review account records, updating and recategorizing them according to status changes.",26.0000,0.0026,3.1923,3.0000,12.8077,13.0769,2.5088,12.5962
"maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",96.0000,0.0096,3.2708,3.0000,12.9896,13.1771,4.3422,15.4115
maintain client databases.,15.0000,0.0015,3.0667,3.0000,11.6000,12.2667,1.2147,9.8000
maintain computer equipment used in instruction.,26.0000,0.0026,3.0769,3.0000,10.8846,9.0769,1.3531,17.5192
maintain computers in classrooms and laboratories and assist students with hardware and software use.,23.0000,0.0023,3.3043,3.0000,9.0435,7.5652,0.4178,11.8696
maintain controlled drug inventory and related log books.,16.0000,0.0016,3.8125,4.0000,12.6250,12.5000,2.8469,10.1562
"maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",254.0000,0.0254,2.9882,3.0000,14.3110,14.1457,1.6311,12.1024
"maintain customer records, using automated systems.",74.0000,0.0074,2.6216,3.0000,10.8514,11.2162,2.1226,5.8243
maintain databases of logistics information.,16.0000,0.0016,3.8750,4.0000,13.6250,13.3750,4.1719,13.3125
"maintain documentation of compliance activities, such as complaints received or investigation outcomes.",22.0000,0.0022,3.3182,3.5000,15.0909,15.0000,3.6364,16.6591
maintain familiarity with aspects of local real estate markets.,85.0000,0.0085,3.3294,3.0000,11.2471,9.5882,1.6533,4.8176
"maintain food and equipment inventories, and keep inventory records.",19.0000,0.0019,3.5263,4.0000,10.1579,9.6316,3.7447,12.1053
"maintain hardware and software, including computers, scanners, color copiers, and color laser printers.",23.0000,0.0023,3.0435,3.0000,9.6522,9.4348,0.8317,6.2391
maintain input or data quality of risk management systems.,15.0000,0.0015,2.8000,3.0000,14.3333,15.6000,2.7567,10.1333
"maintain knowledge of all organizational and governmental rules affecting purchases, and provide information about these rules to organization staff members and to vendors.",22.0000,0.0022,3.2273,3.0000,12.6364,12.3182,1.2205,8.1364
maintain knowledge of current events and trends in such areas as money laundering and criminal tools and techniques.,44.0000,0.0044,3.5682,4.0000,13.2955,12.7273,3.4193,11.5341
maintain knowledge of first-aid procedures.,30.0000,0.0030,3.2000,4.0000,11.0333,10.0667,1.1587,7.8833
"maintain knowledge of real estate law, local economies, fair housing laws, types of available mortgages, financing options, and government programs.",40.0000,0.0040,3.2500,3.0000,13.9250,13.5250,2.9843,10.5750
maintain knowledge of relevant national and international current events.,97.0000,0.0097,2.7732,3.0000,8.0619,7.9175,0.1943,1.0670
"maintain knowledge of tax code changes, and of accounting procedures and theory to properly evaluate financial information.",115.0000,0.0115,3.1391,3.0000,14.3652,13.9913,1.5077,10.0783
"maintain library of model documents, templates, or other reusable knowledge assets.",67.0000,0.0067,3.0896,3.0000,12.9851,13.2985,2.8621,15.3769
"maintain networks by performing activities such as file addition, deletion, or backup.",232.0000,0.0232,3.1897,3.0000,13.5043,13.5948,1.9294,12.0280
"maintain or coordinate the maintenance of network peripherals, such as printers.",25.0000,0.0025,3.3200,3.0000,9.8000,9.4000,0.9844,12.2800
maintain or modify all financial analytic models in use.,86.0000,0.0086,3.3953,4.0000,15.1744,15.4651,6.2491,14.2965
maintain or modify existing geographic information systems (gis) databases.,36.0000,0.0036,3.3611,4.0000,14.0278,14.0000,3.1125,17.6667
"maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.",113.0000,0.0113,3.6106,4.0000,7.9558,7.2566,0.6604,12.3009
"maintain portfolios of artistic work to demonstrate styles, interests, and abilities.",56.0000,0.0056,3.6071,4.0000,10.0893,9.8929,2.5318,12.2232
"maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",23.0000,0.0023,2.7826,3.0000,12.6957,12.8261,2.1283,10.8261
maintain quality of pool water by testing chemical levels.,36.0000,0.0036,3.4167,3.5000,9.0556,8.5278,0.6675,15.0000
"maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates.",19.0000,0.0019,3.3158,4.0000,11.8421,12.3158,4.5895,16.1579
maintain records and files of work and revisions.,28.0000,0.0028,2.3571,2.0000,12.7143,13.4643,2.0375,12.2321
"maintain records of sales, rental or usage activity, special permits issued, maintenance and operating costs, or property availability.",103.0000,0.0103,3.0291,3.0000,12.1456,11.8738,2.4265,10.4369
maintain records of services provided and the effects of advice given.,60.0000,0.0060,3.2000,3.5000,12.1000,12.2167,10.4038,11.1083
"maintain records of students' assessment results, progress, feedback, or school performance, ensuring confidentiality of all records.",40.0000,0.0040,3.2750,3.0000,10.7500,10.8500,2.4175,12.1750
maintain regularly scheduled office hours to advise and assist students.,90.0000,0.0090,3.1778,3.0000,13.7333,14.5222,1.9229,17.3889
maintain sales forecasting reports.,38.0000,0.0038,3.3947,4.0000,12.3947,12.6579,2.2447,11.4474
"maintain talent files that include information such as performers' specialties, past performances, and availability.",42.0000,0.0042,3.2381,3.0000,8.6190,8.2381,0.9757,5.4048
maintain technical project files.,43.0000,0.0043,2.7442,3.0000,13.2558,13.7674,2.0628,9.1163
"maintain understanding of current web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",915.0000,0.0915,3.5410,4.0000,12.6120,12.0448,10.2617,8.7656
"make adjustments or minor repairs, such as tightening leaking gland and pipe joints.",28.0000,0.0028,3.6429,4.0000,8.3929,7.5357,0.6446,12.1429
"make and confirm reservations for transportation and accommodations, using telephones, faxes, mail, and computers.",62.0000,0.0062,2.9032,3.0000,9.5968,9.4355,2.0484,12.2258
make and confirm reservations.,19.0000,0.0019,2.8421,3.0000,9.3684,9.5789,0.5900,7.2632
"make clinical recommendations to physicians, other health care providers, insurance companies, patients, or health care organizations.",19.0000,0.0019,3.3684,4.0000,14.8421,14.7368,5.5526,11.5526
